Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Yarra Roughies AUSSI Masters,Richmond Aquatic Centre,Richmond,3121,VIC,-37.818635,145.00147,Swimming Club,Yarra,North and West Metropolitan Region
Yarra Swim School,Liat Way (off Sainsbury Avenue),Greensborough,3088,VIC,-37.713926,145.098387,Swimming Club,"Nillumbik,Banyule",North and West Metropolitan Region
Benalla Aquatic Centre,4 Mair Street,Benalla,3672,VIC,-36.551032,145.980757,"Swimming Club,Swimming Pool",Delatite,Hume
Diamond Valley Swimming Club,Flintoff Street,Greensbourgh,3088,VIC,-37.70436,145.106209,"Swimming Club,Swimming Pool",Whittlesea; Darebin; Banyule,North and West Metropolitan Region
Northern Swimming Pool,271 Belmore Road,Balwyn North,3014,VIC,-37.803588,145.085498,"Swimming Club,Swimming Pool",Boroondara,Eastern Metro
Swimland,452 Springvale Road,Glen Waverley,3150,VIC,-37.894951,145.162937,"Swimming Club,Swimming Pool",Monash,Eastern Metro
Warburton Outdoor Pool,Warburton Highway,Warburton,3799,VIC,-37.754687,145.685086,"Swimming Club,Swimming Pool",Yarra Ranges,Eastern Metro
Apollo Bay Swimming Pool,Costin Street,Apollo Bay,3233,VIC,-38.752749,143.660028,Swimming Pool,Colac-Otway (S),Barwon South Western Region
Aquacoaster Water Slide,18 Orange Avenue,Mildura,3500,VIC,-34.186141,142.166238,Swimming Pool,Mildura Rural,Loddon-Mallee
Aquastyle,5 Mill Park Drive,Mill Park,3082,VIC,-37.674087,145.066801,Swimming Pool,Whittlesea,North and West Metropolitan Region
Aquastyle,5 Development Boulevard,Mill Park,3082,VIC,-37.657562,145.080777,Swimming Pool,Whittlesea,North and West Metropolitan Region
Ararat Solar Olympic Pool,Alexander Gardens,Ararat,3377,VIC,-37.280396,142.929782,Swimming Pool,Ararat (RC),Grampians Region
Avenel Swimming Pool,Queen Street,Avenel,3664,VIC,-36.896978,145.229696,Swimming Pool,Strathbogie,Hume
Avoca Swimming Pool,Rutherford Street,Avoca,3467,VIC,-37.091937,143.476036,Swimming Pool,Pyrenees,Grampians
A.B.C. Swim Centre,1 Balaka Street,Rosebud,3939,VIC,-38.367646,144.880802,Swimming Pool,Mornington Peninsula,Southern Metro
Bacchus Marsh Outdoor Pool,Grant Street,Bacchus Marsh,3340,VIC,-37.679082,144.434692,Swimming Pool,"Wyndham , Moorabool , Melton",Grampians Region
Bairnsdale Outdoor Pool,Turnbull Street,Bairnsdale,3875,VIC,-37.822221,147.619401,Swimming Pool,East Gippsland,Gippsland
Ballan Outdoor Pool,Blackwood Road,Ballan,3341,VIC,-37.564903,144.281511,Swimming Pool,Moorabool (S),Grampians Region
Beechworth Swimming Pool,"Beechworth Swimming Complex, Harper Avenue",Beechworth,3747,VIC,-36.363204,146.687768,Swimming Pool,Indigo,Hume
Belgrave Swimming Pool,Best Street,Belgrave,3160,VIC,-37.914123,145.349994,Swimming Pool,Yarra Ranges,Eastern Metro
Bendigo Aquatics Centre,Barnard Street,Bendigo,3550,VIC,-36.755587,144.273349,Swimming Pool,Greater Bendigo,Loddon-Mallee
Bendigo East Solar Heated Pool,Lansell Street,Bendigo,3550,VIC,-36.755263,144.296399,Swimming Pool,Greater Bendigo,Loddon-Mallee
Bendigo Heated Pool,12 Vine Street,Bendigo,3550,VIC,-36.762794,144.273119,Swimming Pool,Greater Bendigo (C),Loddon-Mallee Region
