Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Bendigo Ice Skating Stadium,60-64 Hattam Street,Golden Square,3555,VIC,-36.781902,144.26119,Iceskating,Greater Bendigo (C),Loddon-Mallee Region
Eastern Ice Skating Centre,Cnr Barry Street & Jersey Road,Bayswater,3153,VIC,-37.847415,145.278427,Iceskating,Maroondah (C); Knox (C),Eastern Metropolitan Region
Olympic Ice Skating Centre,1080 Centre Road,Oakleigh South,3167,VIC,-37.925462,145.093953,Iceskating,Kingston (C); Glen Eira (C),Southern Metropolitan Region; Eastern Metropolitan Region
Wonderland Park in Docklands,,Docklands,3008,VIC,-37.815018,144.946008,Iceskating,Melbourne (C),North and West Metropolitan Region
