Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Step into Life Ringwood,Peter Vergers Reserve,Ringwood,3134,VIC,-37.796506,145.25389,Personal training,Manningham (C); Maroondah (C),Eastern Metropolitan Region
Step into Life Sale,McMillan Park,Sale,3178,VIC,-38.113634,147.066924,Personal training,Wellington (S),Gippsland Region
Step into Life South Yarra,Edmund Herring Oval,South Yarra,3141,VIC,-37.838568,144.991476,Personal training,Stonnington (C); Melbourne (C),Southern Metropolitan Region
Step into Life St Kilda,Catani Gardens,St Kilda,3182,VIC,-37.861149,144.971165,Personal training,Port Phillip (C),Southern Metropolitan Region
Step into Life Sunbury,Clarke Reserve,Sunbury,3429,VIC,-37.533832,144.766982,Personal training,Melton (S); Hume (C),North and West Metropolitan Region
Step into Life Templestowe,Templestowe Reserve,Templestowe,3106,VIC,-37.753909,145.136894,Personal training,Manningham (C),Eastern Metropolitan Region
Step into Life Thornbury,Mayer Park,Thornbury,3071,VIC,-37.758833,144.986312,Personal training,Darebin (C),North and West Metropolitan Region
Step into Life Vermont South,Emmaus College,Vermont South,3133,VIC,-37.857345,145.182921,Personal training,Whitehorse (C); Maroondah (C),Eastern Metropolitan Region
Step into Life Wantirna,Templeton Reserve,Wantirna,3152,VIC,-37.860349,145.226266,Personal training,Knox (C),Eastern Metropolitan Region
Step into Life Werribee,Galvin Park,Werribee,3030,VIC,-37.914712,144.623627,Personal training,Wyndham (C); Melton (S); Brimbank (C),North and West Metropolitan Region
Step into Life Wheelers Hill,Brandon Park,Wheelers Hill,3150,VIC,-37.914466,145.168928,Personal training,Monash (C),Eastern Metropolitan Region
Step into Life Williamstown,Fearon Reserve,Williamstown,3016,VIC,-37.866671,144.894785,Personal training,Hobsons Bay (C),North and West Metropolitan Region
Step into Life Wodonga,Kelly Park - Wodonga Sport Park,Wodonga,3690,VIC,-36.122487,146.887885,Personal training,Wodonga (RC),Hume Region
Step into Life Yarraville,Wembley Primary School Wembley Avenue,Yarraville,3013,VIC,-37.821979,144.873632,Personal training,Maribyrnong (C),North and West Metropolitan Region
