Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Diamond Valley Horse and Pony Club,Diamond Creek Reserve,Hurstbridge,3099,VIC,-37.640351,145.193089,Pony Club,Nillumbik (S),North and West Metropolitan Region
Dingley Pony Club,Corner Thompson and Learmonth Roads,Patterson Lakes,3197,VIC,-38.067503,145.156179,Pony Club,Kingston (C),Southern Metropolitan Region
Donald Pony Club,Donald Pony Club Grounds,Donald,3480,VIC,-36.370588,142.982445,Pony Club,Buloke (S),Loddon-Mallee Region
Donvale Pony Club,Bucks Reserve,Donvale,3111,VIC,-37.770408,145.189332,Pony Club,Manningham (C),Eastern Metropolitan Region
Doongala Pony Club,Sheffield Road South,Montrose,3765,VIC,-37.826772,145.336346,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
Drysdale/Leopold Pony Club,Lake Lorne Reserve,Drysdale,3222,VIC,-38.182258,144.558789,Pony Club,Greater Geelong (C),Barwon South Western Region
Echuca Pony Club,,Echuca,3564,VIC,-36.127724,144.749497,Pony Club,Campaspe (S),Loddon-Mallee Region
Eltham District Horse and Pony Club,Lower Eltham Park ,Eltham,3095,VIC,-37.733409,145.139611,Pony Club,Nillumbik (S); Banyule (C),North and West Metropolitan Region
Euroa Pony Club,Longwood Recreation Reserve,Longwood,3665,VIC,-36.806608,145.42556,Pony Club,Strathbogie (S),Hume Region
Findon Pony Club,Regent Street,Mernda,3754,VIC,-37.605441,145.073465,Pony Club,Nillumbik (S),North and West Metropolitan Region
Geelong Grammar Pony Club,Cameron Close,Corio,3144,VIC,-38.066803,144.398928,Pony Club,Greater Geelong (C),Barwon South Western Region
Gisborne Pony Club,IR Robertson Reserve,Gisborne,3437,VIC,-37.538204,144.606068,Pony Club,Macedon Ranges (S); Melton (S),Loddon-Mallee Region
Glenlyon and District Pony Club,Glenlyon Recreation Reserve,Glenlyon,3461,VIC,-37.293305,144.245287,Pony Club,Hepburn (S),Grampians Region
Harcourt Pony Club,Bridge Street ,Harcourt,3453,VIC,-36.994697,144.263395,Pony Club,Mount Alexander (S),Loddon-Mallee Region
Hastings Pony Club,Emu Plains,Balnarring,3918,VIC,-38.345427,145.140343,Pony Club,Mornington Peninsula (S),Southern Metropolitan Region
Healesville Pony Club,Don Road Sports Complex,Healesville,3777,VIC,-37.653829,145.517006,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
Heathcote Pony Club,Heathcote Showgrounds,Heathcote,3523,VIC,-36.917342,144.70373,Pony Club,Greater Bendigo (C),Loddon-Mallee Region
Horsham Pony Club,Riverside Recreation Reserve,Horsham,3400,VIC,-36.713136,142.199905,Pony Club,Horsham (RC),Grampians Region
Huntly-Spring Gully Pony Club,Millwood Road,Huntly,3551,VIC,-36.639671,144.33194,Pony Club,Greater Bendigo (C),Loddon-Mallee Region
Hurstbridge Pony Club,St Peters Catholic Church,Hurstbridge,3099,VIC,-37.638992,145.19329,Pony Club,Nillumbik (S),North and West Metropolitan Region
Invergordon-Katandra Pony Club,277 Centre Road,Invergordon,3636,VIC,-36.156678,145.616234,Pony Club,Moira (S),Hume Region
Jeeralang Pony Club,PO Box 80,Yinnar,3869,VIC,-38.322136,146.327749,Pony Club,Latrobe (C),Gippsland Region
Kangaroo Ground Pony Club,Kangaroo Ground & Panton Hill Road,Kangaroo Ground,3097,VIC,-37.686235,145.216565,Pony Club,Nillumbik (S),North and West Metropolitan Region
Kerang Pony Club,Alexandra Park,Kerang,3579,VIC,-35.733138,143.928327,Pony Club,Gannawarra (S),Hume Region
Kergunyah Pony Club,Sandy Creek Reserve,Sandy Creek,3695,VIC,-36.320975,147.10396,Pony Club,Indigo (S),Hume Region
Kilmore and District Pony Club,Kilmore Racecourse Grounds,Kilmore,3764,VIC,-37.292868,144.951258,Pony Club,Mitchell (S),Hume Region
Kinglake Pony Club,Trust Reserve Grounds,Kinglake,3763,VIC,-37.532794,145.341185,Pony Club,Yarra Ranges (S); Murrindindi (S); Nillumbik (S),Hume Region
Kingston and District Pony Club,Kingston Showgrounds,Kingston,3364,VIC,-37.376847,143.954,Pony Club,Hepburn (S),Grampians Region
Kyabram Pony Club,Kyabram Show Grounds,Kyabram,3620,VIC,-36.313522,145.047725,Pony Club,"Greater Shepparton , Campaspe","Loddon-Mallee, Hume"
Kyneton Pony Club,Rollinson Reserve,Kyneton,3444,VIC,-37.247771,144.453486,Pony Club,Macedon Ranges (S),Loddon-Mallee Region
Lakes Entrance Pony Club,Lakes Entrance Pony Club Grounds,Lakes Entrance,3909,VIC,-37.879584,147.991605,Pony Club,East Gippsland (S),Gippsland Region
Lancefield and District Pony Club,Millers Road,Lancefield,3435,VIC,-37.285459,144.722366,Pony Club,Macedon Ranges (S),Loddon-Mallee Region; Hume Region
Langwarrin Pony Club,Cosy Valley Road,Langwarrin,3910,VIC,-38.161013,145.196544,Pony Club,Frankston (C),Southern Metropolitan Region
Laurimar Pony Club,Regent Street,Mernda,3754,VIC,-37.605441,145.073465,Pony Club,Nillumbik (S),North and West Metropolitan Region
Leighdale Pony Club,Leighdale Equestrian Centre,Teesdale,3328,VIC,-38.027087,144.04493,Pony Club,Golden Plains (S),Grampians Region
Little River and District Pony Club,Rees Reserve,Little River,3211,VIC,-37.946461,144.510853,Pony Club,Wyndham (C); Greater Geelong (C),North and West Metropolitan Region; Barwon S/W
Lockington Pony Club,Scurrah Reserve ,Lockington,3563,VIC,-36.271882,144.535806,Pony Club,Campaspe (S),Loddon-Mallee Region
Longford Pony Club,Longford Horse and Pony Club Grounds,Sale,3851,VIC,-38.103664,147.090045,Pony Club,Wellington (S); Wellington (S),Gippsland Region; Gippsland Region
Lower Plenty Pony Club,405 Craigieburn Road East,Wollert,3750,VIC,-37.609151,144.98418,Pony Club,Whittlesea (C),North and West Metropolitan Region
Macclesfield Pony Club,Macclesfield Reserve,Macclesfield,3782,VIC,-37.888759,145.491131,Pony Club,Yarra Ranges (S),Eastern Metropolitan Region
Macedon Pony Club,Barringo Recreation Reserve,New Gisborne,3438,VIC,-37.464382,144.600936,Pony Club,Macedon Ranges (S),Loddon-Mallee Region
Macorna Pony Club,Macorna South Road,Macorna,3579,VIC,-35.935447,144.028481,Pony Club,Gannawarra (S),Loddon-Mallee Region
Macorna Pony Club,Macorna South Road,Macorna,3579,VIC,-35.935447,144.028481,Pony Club,Gannawarra (S),Loddon-Mallee Region
