Name,Address,Suburb,Postcode,State,Latitude,Longitude,Business Category,LGA,Region
Point Cook Skate Park,Boardwalk Boulevard,Point Cook,3030,VIC,-37.893349,144.728889,Skate Parks,,
Point Lonsdale Skate Park,240 Point Lonsdale Road,Point Lonsdale,3225,VIC,-38.272948,144.624644,Skate Parks,Queenscliffe (b),Barwon S/W
Port Melbourne Skate Park,Intersedtion of Graham & Evans Streets,Port Melbourne,3207,VIC,-37.83703,144.936267,Skate Parks,Port Phillip,Southern Metro
Prahran Bowl and Vert Ramp,Malvern Road,Prahran,3181,VIC,-37.848081,145.003155,Skate Parks,Stonnington,Southern Metro
Reservoir Skate Park,Edwardes Lake Park,Reservoir,3073,VIC,-37.714286,145.007847,Skate Parks,Darebin,North and West Metropolitan Region
Riverside Skate Park,Alexandra Gardens,Melbourne,3000,VIC,-37.820442,144.972185,Skate Parks,Melbourne,North and West Metropolitan Region
Riverslide Skate Park,Boathouse Drive,Melbourne,3001,VIC,-37.820078,144.973234,Skate Parks,Melbourne,North and West Metropolitan Region
Rollerway Newtown Skate Centre,6 Lambert Avenue,Newtown,3220,VIC,-38.159764,144.339138,Skate Parks,Greater Geelong,Barwon S/W
Rutherglen Skate Park,Murray Street,Rutherglen,3073,VIC,-36.054722,146.458787,Skate Parks,Indigo,Hume; Hume Region
Rye Skate Park,Off Melbourne Road,Rye,3941,VIC,-38.37851,144.801636,Skate Parks,Mornington Peninsula,Southern Metro
Sale Skate Park,Park Street,Sale,3850,VIC,-38.11747,147.06036,Skate Parks,Wellington,Gippsland
Sandringham Bowl,Royal Avenue,Sandringham,3191,VIC,-37.958511,145.014746,Skate Parks,Bayside,Southern Metro
Seaford Skate Park,Railway Parade,Seaford,3198,VIC,-38.096104,145.128433,Skate Parks,Frankston,Southern Metro
Shepparton Skate Park,Goulburn Valley Highway,Shepparton,3630,VIC,-36.56522,145.347906,Skate Parks,Greater Shepparton,Hume; Hume Region
Spotswood Vert Ramp,Donald McLean Reserve,Spotswood,3015,VIC,-37.826174,144.883781,Skate Parks,Maribyrnong ; Hobsons Bay,North and West Metropolitan Region; Metropolitan North & West Region
St Albans Skate Park,Taylors Road,St Albans,3021,VIC,-37.728078,144.798474,Skate Parks,Brimbank,North and West Metropolitan Region
Strathmore Ramp,Boeing Reserve,Strathmore,3041,VIC,-37.715765,144.899943,Skate Parks,Moonee Valley,North and West Metropolitan Region
Sunbury Skate Park,Cornish Street,Sunbury,3429,VIC,-37.575392,144.719921,Skate Parks,Melton ; Hume,North and West Metropolitan Region
Thomastown Bowl,Main Street Reserve,Thomastown,3074,VIC,-37.678637,144.998243,Skate Parks,Whittlesea,North and West Metropolitan Region
Torquay Skate Park,Beach Road,Torquay,3228,VIC,-38.326015,144.317735,Skate Parks,Surf Coast,Barwon S/W
Traralgon Skate Park,Agnes Brereton Park,Traralgon,3844,VIC,-38.188592,146.535723,Skate Parks,La Trobe,Gippsland
Upwey Skate Park,Mahony Street,Upwey,3158,VIC,-37.907461,145.334961,Skate Parks,Yarra Ranges,Eastern Metro
