Name,Address,Suburb,Postcode,State,latitude,longitude,Business Category,LGA,Region
Metung Yacht Racing Club,113 Metung Road,Metung,3904,VIC,-37.887816,147.856742,Sailing/Boating Club,,
Mordialloc Motor Yacht Club,Lamberts Island,Mordialloc,3195,VIC,-38.009828,145.087331,Sailing/Boating Club,Kingston,Southern Metro
Mornington Yacht Club,Schnapper Point Drive,Mornington,3931,VIC,-38.215241,145.034239,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Mt Martha Yacht Club,The Esplanade,Mount Martha,3934,VIC,-38.271257,145.007263,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Multihull Yacht Club of Victoria,272 Williamstown Road,Port Melbourne,3207,VIC,-37.836597,144.918102,Sailing/Boating Club,Port Phillip,Southern Metro
Newhaven Yacht Squadron,Seaview Street,Newhaven,3925,VIC,-38.514627,145.361644,Sailing/Boating Club,Bass Coast,Gippsland
Noelex Yacht Squadron,22 Harries Court,Narre Warren North,3804,VIC,-37.997278,145.321083,Sailing/Boating Club,Casey,Southern Metro
Ocean Racing Club of Victoria,Suite 27/91 Moreland Street,Footscray,3011,VIC,-37.808353,144.904492,Sailing/Boating Club,Maribyrnong,North and West Metropolitan Region
Parkdale Yacht Club,Beach Road,Parkdale,3195,VIC,-37.999348,145.075097,Sailing/Boating Club,Kingston,Southern Metro
Port Albert Yacht Club,Bay Street,Port Albert,3971,VIC,-38.669657,146.695198,Sailing/Boating Club,,
Port Fairy Yacht Club,Griffiths Street,Port Fairy,3284,VIC,-38.377712,142.242858,Sailing/Boating Club,Moyne,Barwon S/W
Port Melbourne Yacht Club,End of Bay Street,Port Melbourne,3207,VIC,-37.837711,144.943204,Sailing/Boating Club,Port Phillip,Southern Metro
Portarlington Sailing Club,Portarlington Foreshore,Portarlington,3223,VIC,-38.114587,144.652109,Sailing/Boating Club,Greater Geelong,Barwon S/W
Portland Yacht Club,Lee Breakwater Road,Portland,3305,VIC,-38.352525,141.611239,Sailing/Boating Club,Glenelg,Barwon S/W
Queenscliff Cruising Yacht Club,Sand Island,Swan Bay,3225,VIC,-38.224805,144.635585,Sailing/Boating Club,,
Queenscliff Lonsdale Yacht Club,PO Box 35,Queenscliff,3225,VIC,-38.267445,144.66145,Sailing/Boating Club,Queenscliffe (b),Barwon S/W
Ranelagh Yacht Squadron,3 Rosserdale Crescent,Mount Eliza,3930,VIC,-38.17677,145.078745,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Rhyll Yacht Club,Foreshore,Rhyll,3923,VIC,-38.463737,145.304222,Sailing/Boating Club,,
Rosebud Yacht Club,Foreshore Reserve,Rosebud,3939,VIC,-38.361021,144.890055,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Royal Brighton Yacht Club,253 The Esplanade,Brighton,3186,VIC,-37.909218,144.98601,Sailing/Boating Club,Bayside,Southern Metro
Royal Geelong Yacht Club,PO Box 156,Geelong,3220,VIC,-38.148544,144.361348,Sailing/Boating Club,Greater Geelong,Barwon S/W
Royal Melbourne Yacht Squadron,Pier Road,St Kilda,3182,VIC,-37.863818,144.971067,Sailing/Boating Club,Port Phillip,Southern Metro
Royal Yacht Club of Victoria,120 Nelson Place,Williamstown,3016,VIC,-37.862706,144.906094,Sailing/Boating Club,Hobsons Bay,North and West Metropolitan Region
Rye Yacht Club,2120  Point Nepean Road,Rye,3941,VIC,-38.370164,144.825312,Sailing/Boating Club,Mornington Peninsula,Southern Metro
Safety Beach Sailing Club,Marine Drive,Safety Beach,3936,VIC,-38.317895,144.98784,Sailing/Boating Club,Mornington Peninsula,Southern Metro
